#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
7	18	113	1	1	2	0	1	82	1	1	0	1	1	84	1	0	1	2	1	138	0
7	19	148	2	1	2	0	1	85	1	1	0	1	1	89	1	0	2	1	1	171	0
7	20	1023	5	2	2	0	3	686	1	2	0	2	1	745	1	0	1	6	4	990	0
7	21	394	2	1	1	0	2	278	1	2	0	1	1	356	1	0	1	1	1	347	0
7	22	254	1	1	1	0	1	248	1	1	0	1	1	313	1	0	1	1	1	326	0
7	23	131	1	1	1	0	1	137	1	1	0	1	1	156	1	0	1	1	1	191	0
7	24	288	1	1	1	0	2	226	1	1	0	1	1	283	1	0	1	1	1	341	0
7	25	1644	1	1	2	0	3	1037	1	1	0	1	1	1125	1	0	2	1	1	1620	0
7	26	702	1	1	1	0	2	612	1	1	0	1	1	700	1	0	1	1	1	766	0
7	27	279	1	1	1	0	1	273	1	1	0	1	1	285	1	0	1	1	1	387	0
7	28	2272	1	2	1	0	1	1632	2	2	0	3	1	1734	1	0	1	2	1	2333	0
7	29	878	1	1	1	0	2	761	1	1	0	1	1	876	1	0	1	1	1	931	0
7	30	2576	1	1	1	0	1	1870	1	1	0	2	1	1859	1	0	1	2	1	2625	0
7	31	853	1	1	1	0	1	698	1	1	0	1	1	921	1	0	1	1	1	1061	0
7	32	3731	1	1	1	0	1	2728	1	1	0	1	1	2924	1	0	1	1	1	3802	0
7	33	3012	1	4	2	0	1	2022	2	1	0	1	2	2031	1	0	1	1	1	3100	0
7	34	2923	1	1	1	0	1	2164	1	2	0	1	1	2605	1	0	1	2	1	3307	0
7	35	7959	1	1	2	0	2	6292	1	3	0	1	1	6288	2	0	1	1	1	7752	0
7	36	8947	1	2	1	0	4	7408	1	2	0	1	1	8293	1	0	1	2	1	9685	0
7	37	8896	1	1	1	0	1	7346	1	1	0	2	1	7260	1	0	1	1	1	9058	0
7	38	17564	1	1	1	0	4	18584	1	4	0	2	1	12380	1	0	1	1	1	18491	0
8	2	209	2	2	2	0	2	167	2	1	0	1	1	241	1	0	3	5	3	247	0
8	3	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2	0
8	4	1	1	1	1	0	1	2	1	1	0	1	1	1	1	0	2	2	2	12	0
8	5	13	2	1	1	0	2	3	1	1	0	1	1	4	1	0	1	2	5	12	0
8	6	13	3	2	1	0	2	4	1	1	0	1	1	6	1	0	3	2	2	21	0
8	7	31	1	1	2	0	1	19	2	1	0	1	1	17	1	0	4	4	5	27	0
8	8	30	2	3	1	0	5	23	1	1	0	1	2	19	1	0	3	1	4	34	0
8	9	82	4	3	2	0	6	34	3	1	0	2	1	53	2	0	9	7	9	77	0
8	10	68	4	2	2	0	3	57	2	2	0	4	2	43	1	0	3	3	7	86	0
8	11	101	3	1	1	0	5	40	2	1	0	1	1	45	1	0	2	1	5	86	0
8	12	503	23	6	4	0	11	342	6	5	0	3	4	303	2	0	15	10	17	395	0
8	13	135	5	3	4	0	4	83	2	2	0	1	2	81	1	0	4	4	2	127	0
8	14	42	1	1	1	0	2	36	1	1	0	1	1	38	1	0	2	1	1	53	0
8	15	59	1	1	1	0	1	28	1	1	0	1	1	40	1	0	1	1	1	68	0
8	16	71	2	1	1	0	1	56	1	1	0	1	1	53	2	0	1	1	3	70	0
8	17	85	1	1	1	0	1	65	1	1	0	2	1	99	1	0	3	1	3	106	0
8	18	115	1	1	1	0	2	78	1	1	0	1	1	91	1	0	1	1	2	141	0
8	19	117	1	1	1	0	2	91	1	1	0	1	2	97	1	0	1	1	3	135	0
8	20	1152	4	2	1	0	10	680	2	6	0	3	2	764	2	0	1	2	5	1036	0
8	21	358	2	1	1	0	2	284	1	1	0	1	1	314	1	0	1	1	2	371	0
8	22	296	1	1	1	0	1	229	1	1	0	1	1	285	1	0	1	1	1	334	0
8	23	172	1	1	1	0	1	110	1	1	0	1	1	146	1	0	1	1	1	190	0
8	24	308	1	1	1	0	3	244	1	1	0	1	1	262	1	0	1	1	1	341	0
8	25	1660	1	2	1	0	1	1138	1	2	0	2	1	1209	1	0	1	1	1	1610	0
8	26	669	1	1	1	0	2	616	1	1	0	1	1	690	1	0	1	1	1	748	0
8	27	382	2	1	1	0	1	250	1	1	0	2	1	287	1	0	1	1	1	381	0
8	28	2460	1	2	1	0	1	1674	1	3	0	1	1	1866	1	0	1	1	1	2254	0
8	29	963	1	1	1	0	1	757	1	1	0	1	2	902	1	0	1	1	1	973	0
8	30	2689	1	1	1	0	1	1845	1	2	0	1	1	1853	2	0	1	2	1	2721	0
