#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
4	9	142	10	7	7	0	2	102	4	8	0	2	8	123	13	0	4	8	7	175	0
4	10	96	11	2	1	0	5	55	3	5	0	1	4	80	6	0	3	5	4	130	0
4	11	136	15	5	3	0	9	99	5	5	0	4	5	120	11	0	5	4	12	136	0
4	12	429	17	7	12	0	10	286	8	13	0	6	7	340	18	0	11	15	29	575	0
4	13	199	12	5	9	0	8	148	4	7	0	5	6	178	14	0	6	12	12	207	0
4	14	55	1	2	1	0	6	43	2	6	0	2	2	62	3	0	1	1	2	67	0
4	15	140	3	5	3	0	11	97	2	6	0	2	1	96	3	0	1	4	4	122	0
4	16	121	3	5	5	0	4	98	3	3	0	1	1	88	4	0	3	6	3	126	0
4	17	179	9	3	4	0	3	107	2	3	0	4	2	144	6	0	2	3	6	152	0
4	18	204	11	1	3	0	8	142	2	3	0	1	6	124	2	0	2	4	5	217	0
4	19	248	4	8	5	0	12	180	7	6	0	7	1	159	3	0	10	4	4	272	0
4	20	1043	19	9	19	0	18	740	8	16	0	8	6	917	17	0	12	15	17	1211	0
4	21	468	10	3	19	0	11	357	3	11	0	3	2	435	8	0	5	5	8	496	0
4	22	406	9	2	3	0	9	319	3	3	0	3	1	358	2	0	2	2	2	413	0
4	23	274	5	2	4	0	7	187	3	7	0	2	2	170	3	0	3	3	3	268	0
4	24	387	8	6	7	0	13	285	1	6	0	5	3	324	3	0	4	6	2	446	0
4	25	1697	21	10	38	0	24	1211	13	26	0	16	5	1284	11	0	23	24	14	1865	0
4	26	778	10	8	10	0	19	587	6	16	0	8	5	707	4	0	10	12	3	872	0
4	27	443	11	3	11	0	12	345	6	10	0	6	7	276	5	0	6	8	4	406	0
4	28	1994	33	14	29	0	27	1455	20	26	0	14	11	1809	15	0	22	23	12	2286	0
4	29	970	19	11	21	0	17	854	13	18	0	9	14	825	8	0	21	20	7	1042	0
4	30	2699	129	44	55	0	109	2105	44	72	0	44	39	2093	30	0	60	110	42	2823	0
4	31	1069	63	19	30	0	48	973	23	30	0	19	26	801	14	0	35	63	21	1066	0
4	32	3353	93	33	71	0	67	2601	43	43	0	36	33	2910	22	0	77	81	25	3380	0
4	33	2195	44	12	25	0	27	1720	18	25	0	19	19	1998	10	0	19	29	21	2405	0
4	34	2331	61	16	21	0	36	2079	20	18	0	19	10	2033	16	0	37	44	22	2267	0
4	35	4179	12	7	3	0	4	2790	7	4	0	5	5	5027	7	0	8	9	6	5497	0
4	36	4843	12	6	8	0	7	3199	6	3	0	8	6	5441	5	0	10	8	3	5793	0
4	37	4473	1	2	1	0	3	2683	1	2	0	2	2	5556	5	0	1	3	1	5863	0
4	38	10744	2	1	3	0	1	5632	1	2	0	3	1	15140	4	0	1	1	1	13834	0
5	2	9202	10618	4259	6772	0	10143	12874	5033	7706	0	3875	4933	2761	3248	0	6348	8013	3199	5849	0
5	3	2	5	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2	0
5	4	18	8	2	1	0	2	6	4	2	0	2	1	5	5	0	1	2	3	7	0
5	5	19	7	2	2	0	4	5	1	4	0	2	3	8	2	0	2	4	3	16	0
5	6	34	5	3	1	0	3	20	2	3	0	2	2	13	3	0	1	3	6	36	0
5	7	53	8	3	4	0	1	26	2	5	0	2	2	33	5	0	1	6	5	55	0
5	8	66	5	3	7	0	7	42	3	7	0	1	5	53	9	0	2	5	9	66	0
5	9	126	11	8	6	0	8	79	5	6	0	3	3	116	12	0	5	7	10	153	0
